version,engine_bytes,widgets_bytes,widgets_diff_bytes,design_bytes,design_diff_bytes,rustc,runner_os,date
0.17.0,N/A,N/A,N/A,N/A,N/A,rustc_1.96.0_(ac68faa20_2026-05-25),unknown,2026-06-10T12:41:24Z
0.19.0,N/A,N/A,N/A,N/A,N/A,rustc_1.96.0_(ac68faa20_2026-05-25),ubuntu-latest,2026-06-20
0.19.1,N/A,N/A,N/A,N/A,N/A,rustc_1.96.0_(ac68faa20_2026-05-25),ubuntu-latest,2026-06-20
0.25.3,15687888,15687888,0,15688016,128,rustc_1.97.1_(8bab26f4f_2026-07-14),Linux,2026-08-02
0.26.0,15687888,15731536,43648,15734224,2688,rustc_1.97.1_(8bab26f4f_2026-07-14),Linux,2026-08-03
0.27.0,15689296,15734224,44928,15737936,3712,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-03
0.27.1,15689296,15734352,45056,15737808,3456,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-04
0.28.0,15690704,15737296,46592,15740880,3584,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-04
0.28.1,15690576,15737296,46720,15740752,3456,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-15
0.29.0,15690832,15737168,46336,15740880,3712,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-15
0.30.0,15690704,15737040,46336,15740880,3840,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-15
0.31.0,15690704,15737296,46592,15741008,3712,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-15
0.32.0,15690832,15737296,46464,15741008,3712,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-15
0.33.0,15690704,15737168,46464,15741008,3840,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-15
0.33.1,15690704,15737168,46464,15740880,3712,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-17
0.34.0,15690704,15737168,46464,15741008,3840,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-18
0.35.0,15690704,15737168,46464,15740880,3712,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-18
0.36.0,15690832,15737168,46336,15741008,3840,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-18
0.36.1,15690832,15737296,46464,15741008,3712,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-18
0.37.0,15690704,15737168,46464,15741008,3840,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-18
0.37.1,15690704,15737168,46464,15740880,3712,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-18
0.37.2,15690704,15737168,46464,15740880,3712,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-19
0.38.0,15690704,15737296,46592,15740880,3584,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-19
0.38.1,15690832,15737296,46464,15740752,3456,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-19
0.38.2,15690704,15737296,46592,15740880,3584,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-19
0.38.3,15690704,15737296,46592,15740880,3584,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-20
0.39.0,15690704,15737168,46464,15741008,3840,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-20
0.39.1,15690704,15737168,46464,15741008,3840,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-20
0.39.2,15689304,15738072,48768,15739736,1664,rustc_1.98.0_(88d9e12ae_2026-08-18),ubuntu-latest,2026-08-21
0.39.3,15689304,15737816,48512,15739736,1920,rustc_1.98.0_(88d9e12ae_2026-08-18),ubuntu-latest,2026-08-21
0.40.0,15689304,15737944,48640,15739608,1664,rustc_1.98.0_(88d9e12ae_2026-08-18),ubuntu-latest,2026-08-27
0.41.0,15688920,15738200,49280,15741016,2816,rustc_1.98.0_(88d9e12ae_2026-08-18),ubuntu-latest,2026-09-01
0.41.1,15689432,15738072,48640,15741016,2944,rustc_1.98.0_(88d9e12ae_2026-08-18),ubuntu-latest,2026-09-01
0.42.0,13772376,13822680,50304,13827160,4480,rustc_1.98.0_(88d9e12ae_2026-08-18),ubuntu-latest,2026-09-02
