version,check_workspace_ms,build_widgets_ms,build_engine_only_ms,example_hello_ms,build_widgets_design_ms,example_workbench_ms,rustc,runner_os,date
0.17.0,156223,N/A,5181,182000,N/A,N/A,rustc_1.96.0_(ac68faa20_2026-05-25),unknown,2026-06-10T12:41:24Z
0.19.1,56150,96000,330,153000,N/A,N/A,rustc_1.96.0_(ac68faa20_2026-05-25),ubuntu-latest,2026-06-20
0.25.3,5455,353,323,5049,386,4839,rustc_1.97.1_(8bab26f4f_2026-07-14),Linux,2026-08-02T22:15:43Z
0.26.0,60341,101637,421,154657,529,6133,rustc_1.97.1_(8bab26f4f_2026-07-14),Linux,2026-08-03T08:43:55Z
0.27.0,55952,95810,414,151970,553,6490,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-03T22:44:09Z
0.27.1,56016,97086,383,154160,522,6355,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-04T07:45:24Z
0.28.0,46099,77807,344,121337,442,5128,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-04T08:07:50Z
0.28.1,51301,85195,415,130712,490,5488,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-15T04:04:19Z
0.29.0,43582,83803,342,137481,455,5986,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-15T04:27:32Z
0.30.0,62636,102874,417,162947,580,6748,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-15T06:54:08Z
0.31.0,62987,99157,506,155591,581,6641,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-15T08:22:02Z
0.32.0,57709,99159,463,156534,592,6561,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-15T12:43:01Z
0.33.0,39270,67296,355,111226,453,4690,rustc_1.97.1_(8bab26f4f_2026-07-14),ubuntu-latest,2026-08-15T14:24:24Z
